"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes"
"00:15:17:fe:56:df",15,1845,15,1845,0,0
"00:1e:64:c7:9d:31",572,53736,572,53736,0,0
"00:db:df:84:1a:a7",14,7712,14,7712,0,0
"00:e0:0f:8e:81:d8",4837,1042512,4837,1042512,0,0
"00:ff:ff:ff:ff:ff",3,138,0,0,3,138
"01:00:5e:00:00:01",3,302,0,0,3,302
"01:00:5e:00:00:02",19,1884,0,0,19,1884
"01:00:5e:00:00:05",2,236,0,0,2,236
"01:00:5e:00:00:16",81,7956,0,0,81,7956
"01:00:5e:00:00:fb",1364,298229,0,0,1364,298229
"01:00:5e:00:00:fc",962,99626,0,0,962,99626
"01:00:5e:40:98:a3",1,110,0,0,1,110
"01:00:5e:6e:ee:ee",10,1180,0,0,10,1180
"01:00:5e:7f:ff:fa",98,38176,0,0,98,38176
"01:80:c2:00:00:00",49,4312,0,0,49,4312
"01:ff:ff:ff:ff:ff",3,102,0,0,3,102
"02:ff:ff:ff:ff:ff",1,46,0,0,1,46
"03:ff:ff:ff:ff:ff",5,182,0,0,5,182
"04:00:00:00:00:00",1,46,0,0,1,46
"04:00:00:00:ff:ff",8,272,8,272,0,0
"04:00:00:05:ff:ff",3,102,3,102,0,0
"04:00:00:06:ff:ff",1,46,1,46,0,0
"04:00:00:08:11:31",2,76,2,76,0,0
"04:00:00:09:ec:78",1,38,1,38,0,0
"04:00:00:0a:81:d8",5,180,5,180,0,0
"04:00:00:0b:81:d8",2,76,2,76,0,0
"04:00:00:0c:81:d8",1,38,1,38,0,0
"04:00:00:0c:9d:31",3,114,3,114,0,0
"04:00:00:10:ff:ff",2,74,0,0,2,74
"04:00:00:12:ff:ff",14,476,14,476,0,0
"04:00:00:19:ff:ff",5,188,5,188,0,0
"04:00:00:1e:ff:ff",2,74,0,0,2,74
"04:00:00:21:00:00",3,108,0,0,3,108
"04:00:00:21:58:1c",2,76,0,0,2,76
"04:00:00:21:f7:ff",4,136,0,0,4,136
"04:00:00:21:ff:ff",5,194,3,120,2,74
"04:00:00:28:ff:ff",3,108,3,108,0,0
"04:00:00:2c:ff:ff",4,136,4,136,0,0
"04:00:00:34:ff:ff",3,108,3,108,0,0
"04:00:00:39:00:00",1,38,0,0,1,38
"04:00:00:3c:00:00",1,38,0,0,1,38
"04:00:00:3c:ff:ff",4,142,4,142,0,0
"04:00:00:3f:00:00",1,38,0,0,1,38
"04:00:00:42:ff:ff",1,46,1,46,0,0
"04:00:00:4c:ff:ff",4,130,4,130,0,0
"04:00:00:4d:ff:ff",6,198,6,198,0,0
"04:00:00:55:ff:ff",2,74,0,0,2,74
"04:00:00:58:ff:ff",3,108,3,108,0,0
"04:00:00:59:ff:ff",3,102,3,102,0,0
"04:00:00:5c:ff:ff",9,306,9,306,0,0
"04:00:00:61:ff:ff",2,74,0,0,2,74
"04:00:00:62:ff:ff",3,108,0,0,3,108
"04:00:00:63:ff:ff",5,164,5,164,0,0
"04:00:00:65:ff:ff",2,74,2,74,0,0
"04:00:00:6c:ff:ff",1,46,1,46,0,0
"04:00:00:72:00:00",1,46,0,0,1,46
"04:00:00:79:00:00",1,46,0,0,1,46
"04:00:00:7b:ff:ff",2,74,0,0,2,74
"04:00:00:7e:ff:ff",6,210,6,210,0,0
"04:00:00:7f:00:00",1,46,0,0,1,46
"04:00:00:82:ff:ff",3,108,3,108,0,0
"04:00:00:8a:ff:ff",14,470,14,470,0,0
"04:00:00:8c:ff:ff",4,154,4,154,0,0
"04:00:00:8d:ff:ff",2,80,2,80,0,0
"04:00:00:8e:ff:ff",2,74,2,74,0,0
"04:00:00:90:ff:ff",4,142,4,142,0,0
"04:00:00:95:ff:ff",1,46,1,46,0,0
"04:00:00:9a:7f:ff",2,74,0,0,2,74
